time,pv_power_w,plane_of_array_irradiance_w_m2,solar_elevation_deg,temperature_c,wind_speed_m_s,pv_energy_kwh_per_kwp,month
2023-01-01 00:10:00,0.0,0.0,0.0,9.89,2.69,0.0,1
2023-01-01 01:10:00,0.0,0.0,0.0,9.8,2.69,0.0,1
2023-01-01 02:10:00,0.0,0.0,0.0,9.82,2.62,0.0,1
2023-01-01 03:10:00,0.0,0.0,0.0,9.55,2.48,0.0,1
2023-01-01 04:10:00,0.0,0.0,0.0,9.4,2.48,0.0,1
2023-01-01 05:10:00,0.0,0.0,0.0,9.17,2.41,0.0,1
2023-01-01 06:10:00,0.0,0.0,0.0,8.73,2.28,0.0,1
2023-01-01 07:10:00,0.0,0.0,0.0,8.66,2.34,0.0,1
2023-01-01 08:10:00,45.48,68.75,5.9,8.85,2.28,0.04548,1
2023-01-01 09:10:00,401.75,477.69,12.24,10.04,2.14,0.40175,1
2023-01-01 10:10:00,450.78,541.26,16.69,11.51,1.72,0.45077999999999996,1
2023-01-01 11:10:00,551.2,672.39,18.83,12.83,1.66,0.5512,1
2023-01-01 12:10:00,422.28,511.61,18.46,13.47,1.66,0.42228,1
2023-01-01 13:10:00,500.06,610.08,15.62,13.69,1.59,0.50006,1
2023-01-01 14:10:00,350.39,426.4,10.58,13.26,1.45,0.35039,1
2023-01-01 15:10:00,109.3,147.27,3.76,11.86,1.86,0.1093,1
2023-01-01 16:10:00,0.0,0.0,0.0,9.8,2.21,0.0,1
2023-01-01 17:10:00,0.0,0.0,0.0,8.54,2.34,0.0,1
2023-01-01 18:10:00,0.0,0.0,0.0,7.78,2.41,0.0,1
2023-01-01 19:10:00,0.0,0.0,0.0,8.16,2.34,0.0,1
2023-01-01 20:10:00,0.0,0.0,0.0,7.94,2.41,0.0,1
2023-01-01 21:10:00,0.0,0.0,0.0,7.62,2.28,0.0,1
2023-01-01 22:10:00,0.0,0.0,0.0,7.23,2.21,0.0,1
2023-01-01 23:10:00,0.0,0.0,0.0,6.8,2.14,0.0,1
2023-01-02 00:10:00,0.0,0.0,0.0,6.53,2.14,0.0,1
2023-01-02 01:10:00,0.0,0.0,0.0,5.99,2.14,0.0,1
2023-01-02 02:10:00,0.0,0.0,0.0,5.54,2.14,0.0,1
2023-01-02 03:10:00,0.0,0.0,0.0,5.13,2.0,0.0,1
2023-01-02 04:10:00,0.0,0.0,0.0,4.7,2.0,0.0,1
2023-01-02 05:10:00,0.0,0.0,0.0,4.77,1.93,0.0,1
2023-01-02 06:10:00,0.0,0.0,0.0,4.19,1.93,0.0,1
2023-01-02 07:10:00,0.0,0.0,0.0,4.73,1.72,0.0,1
2023-01-02 08:10:00,168.54,207.73,5.92,5.01,1.45,0.16854,1
2023-01-02 09:10:00,81.32,109.27,12.28,6.58,1.17,0.08131999999999999,1
2023-01-02 10:10:00,250.49,302.3,16.74,9.68,1.1,0.25049,1
2023-01-02 11:10:00,98.94,131.71,18.91,10.61,1.45,0.09894,1
2023-01-02 12:10:00,240.84,292.07,18.56,11.21,2.07,0.24084,1
2023-01-02 13:10:00,103.73,136.54,15.73,10.92,3.31,0.10373,1
2023-01-02 14:10:00,63.11,89.52,10.7,10.14,3.45,0.06311,1
2023-01-02 15:10:00,2.51,11.13,3.89,9.19,3.93,0.0025099999999999996,1
2023-01-02 16:10:00,0.0,0.0,0.0,8.49,3.59,0.0,1
2023-01-02 17:10:00,0.0,0.0,0.0,7.87,3.1,0.0,1
2023-01-02 18:10:00,0.0,0.0,0.0,7.74,2.69,0.0,1
2023-01-02 19:10:00,0.0,0.0,0.0,7.26,2.14,0.0,1
2023-01-02 20:10:00,0.0,0.0,0.0,6.82,1.86,0.0,1
2023-01-02 21:10:00,0.0,0.0,0.0,6.38,1.59,0.0,1
2023-01-02 22:10:00,0.0,0.0,0.0,6.01,1.38,0.0,1
2023-01-02 23:10:00,0.0,0.0,0.0,5.63,1.24,0.0,1
2023-01-03 00:10:00,0.0,0.0,0.0,5.3,1.03,0.0,1
2023-01-03 01:10:00,0.0,0.0,0.0,5.18,0.9,0.0,1
2023-01-03 02:10:00,0.0,0.0,0.0,4.95,0.76,0.0,1
2023-01-03 03:10:00,0.0,0.0,0.0,4.54,0.76,0.0,1
2023-01-03 04:10:00,0.0,0.0,0.0,4.08,0.76,0.0,1
2023-01-03 05:10:00,0.0,0.0,0.0,3.48,0.83,0.0,1
2023-01-03 06:10:00,0.0,0.0,0.0,3.17,0.9,0.0,1
2023-01-03 07:10:00,0.0,0.0,0.0,1.81,0.76,0.0,1
2023-01-03 08:10:00,58.31,81.96,5.95,2.09,0.76,0.05831,1
2023-01-03 09:10:00,74.03,99.84,12.33,3.42,0.76,0.07403,1
2023-01-03 10:10:00,497.32,588.0,16.81,4.7,0.55,0.49732,1
2023-01-03 11:10:00,558.96,668.46,19.0,5.68,0.62,0.55896,1
2023-01-03 12:10:00,497.84,591.22,18.66,6.55,0.9,0.49783999999999995,1
2023-01-03 13:10:00,556.13,664.57,15.85,7.1,1.1,0.55613,1
2023-01-03 14:10:00,408.28,483.4,10.83,7.13,1.31,0.40828,1
2023-01-03 15:10:00,157.07,199.35,4.02,6.63,1.1,0.15707,1
2023-01-03 16:10:00,0.0,0.0,0.0,5.59,1.03,0.0,1
2023-01-03 17:10:00,0.0,0.0,0.0,4.26,1.17,0.0,1
2023-01-03 18:10:00,0.0,0.0,0.0,3.23,1.59,0.0,1
2023-01-03 19:10:00,0.0,0.0,0.0,2.83,1.17,0.0,1
2023-01-03 20:10:00,0.0,0.0,0.0,2.42,1.24,0.0,1
2023-01-03 21:10:00,0.0,0.0,0.0,2.11,1.45,0.0,1
2023-01-03 22:10:00,0.0,0.0,0.0,1.87,1.38,0.0,1
2023-01-03 23:10:00,0.0,0.0,0.0,1.95,1.38,0.0,1
2023-01-04 00:10:00,0.0,0.0,0.0,1.77,1.66,0.0,1
2023-01-04 01:10:00,0.0,0.0,0.0,0.5,1.72,0.0,1
2023-01-04 02:10:00,0.0,0.0,0.0,0.14,1.86,0.0,1
2023-01-04 03:10:00,0.0,0.0,0.0,0.19,1.93,0.0,1
2023-01-04 04:10:00,0.0,0.0,0.0,0.46,2.07,0.0,1
2023-01-04 05:10:00,0.0,0.0,0.0,0.93,2.14,0.0,1
2023-01-04 06:10:00,0.0,0.0,0.0,1.77,2.21,0.0,1
2023-01-04 07:10:00,0.0,0.0,0.0,3.49,2.48,0.0,1
2023-01-04 08:10:00,2.11,10.2,5.98,4.05,2.69,0.00211,1
2023-01-04 09:10:00,27.89,46.36,12.38,4.72,3.03,0.02789,1
2023-01-04 10:10:00,29.29,48.21,16.88,5.38,3.03,0.02929,1
2023-01-04 11:10:00,36.74,57.48,19.09,6.22,3.31,0.03674,1
2023-01-04 12:10:00,62.55,88.08,18.78,6.7,3.38,0.06255,1
2023-01-04 13:10:00,129.15,162.48,15.97,7.13,3.45,0.12915000000000001,1
2023-01-04 14:10:00,93.96,123.33,10.96,7.24,3.24,0.09395999999999999,1
2023-01-04 15:10:00,22.67,40.47,4.16,7.09,4.07,0.022670000000000003,1
2023-01-04 16:10:00,0.0,0.0,0.0,6.96,4.21,0.0,1
2023-01-04 17:10:00,0.0,0.0,0.0,6.81,4.41,0.0,1
2023-01-04 18:10:00,0.0,0.0,0.0,6.71,4.55,0.0,1
2023-01-04 19:10:00,0.0,0.0,0.0,6.58,4.62,0.0,1
2023-01-04 20:10:00,0.0,0.0,0.0,6.55,4.55,0.0,1
2023-01-04 21:10:00,0.0,0.0,0.0,6.77,4.41,0.0,1
2023-01-04 22:10:00,0.0,0.0,0.0,6.92,4.34,0.0,1
2023-01-04 23:10:00,0.0,0.0,0.0,6.96,4.28,0.0,1
2023-01-05 00:10:00,0.0,0.0,0.0,6.95,4.28,0.0,1
2023-01-05 01:10:00,0.0,0.0,0.0,6.64,4.21,0.0,1
2023-01-05 02:10:00,0.0,0.0,0.0,6.59,4.07,0.0,1
2023-01-05 03:10:00,0.0,0.0,0.0,6.54,4.07,0.0,1
2023-01-05 04:10:00,0.0,0.0,0.0,6.49,3.38,0.0,1
2023-01-05 05:10:00,0.0,0.0,0.0,6.44,3.31,0.0,1
2023-01-05 06:10:00,0.0,0.0,0.0,6.42,3.79,0.0,1
2023-01-05 07:10:00,0.0,0.0,0.0,6.77,3.72,0.0,1
2023-01-05 08:10:00,2.07,10.2,6.02,6.81,3.79,0.00207,1
2023-01-05 09:10:00,4.67,14.83,12.44,7.04,3.72,0.00467,1
2023-01-05 10:10:00,158.43,194.7,16.96,7.21,3.72,0.15843000000000002,1
2023-01-05 11:10:00,97.23,127.63,19.19,7.49,4.21,0.09723000000000001,1
2023-01-05 12:10:00,177.01,215.41,18.89,7.52,4.07,0.17701,1
2023-01-05 13:10:00,118.01,150.41,16.1,7.59,3.86,0.11801,1
2023-01-05 14:10:00,85.42,113.94,11.1,7.59,3.1,0.08542,1
2023-01-05 15:10:00,67.8,95.57,4.31,7.3,2.55,0.0678,1
2023-01-05 16:10:00,0.0,0.0,0.0,7.02,2.21,0.0,1
2023-01-05 17:10:00,0.0,0.0,0.0,6.75,1.86,0.0,1
2023-01-05 18:10:00,0.0,0.0,0.0,6.6,1.59,0.0,1
