month,monthly_yield_kwh_per_kwp,city,year
1,38.1558,Freiburg im Breisgau,2023
2,78.65996,Freiburg im Breisgau,2023
3,84.97073,Freiburg im Breisgau,2023
4,94.60902999999999,Freiburg im Breisgau,2023
5,131.57817,Freiburg im Breisgau,2023
6,158.46813,Freiburg im Breisgau,2023
7,138.71779999999998,Freiburg im Breisgau,2023
8,111.36701,Freiburg im Breisgau,2023
9,132.70188,Freiburg im Breisgau,2023
10,76.6164,Freiburg im Breisgau,2023
11,31.792249999999996,Freiburg im Breisgau,2023
12,35.091609999999996,Freiburg im Breisgau,2023
